Name,County,"Population Census
4/21/1991",Population Census 4/28/1996,Population Census 4/28/2002,Population Census 4/23/2006,Population Census 4/10/2011,Population Census 4/24/2016
Frenchpark,Roscommon,272,290,358,454,420,454
Freshford,Kilkenny,651,632,756,734,685,662
Galbally,Limerick,244,246,235,257,238,251
Galway,Galway City / Galway,"50,853","57,363","66,163","72,729","76,778","79,934"
Garristown,Fingal,224,228,289,257,433,509
Geashill,Offaly,375,363,344,328,375,395
Glanworth,Cork,390,400,378,432,547,603
Glassan,Westmeath,212,198,216,166,198,207
Glasslough,Monaghan,305,306,296,290,348,453
Gleann Cholm Cille,Donegal,259,236,254,238,212,217
Glen,Limerick,...,...,216,420,455,450
Glenamaddy,Galway,338,394,457,502,500,480
Glenbeigh,Kerry,230,251,330,280,285,308
Glencullen,Dún Laoghaire- Rathdown,...,...,204,189,268,238
Glenealy,Wicklow,361,383,377,528,670,694
Gleneely,Donegal,...,...,...,166,208,236
Glengarriff,Cork,...,...,...,...,...,138
Glenties,Donegal,802,738,789,811,869,805
Glenville,Cork,...,...,...,...,...,531
Glin,Limerick,608,554,560,566,577,576
Gneevgullia,Kerry,239,230,239,233,256,256
Gob an Choire (Achill Sound),Mayo,229,277,355,302,275,238
Golden,Tipperary,293,262,268,255,269,267
Goresbridge,Kilkenny,354,407,401,376,361,347
Gorey,Wexford,"3,840","3,939","5,282","7,193","9,114","9,822"
Gormanston,Meath,819,435,504,355,500,375
Gort,Galway,"1,093","1,182","1,776","2,734","2,644","2,994"
Gort an Choirce (Gortahork),Donegal,...,152,155,149,197,185
Gortnahoo,Tipperary,...,...,207,219,304,286
Gowran,Kilkenny,477,476,454,487,742,804
Grahormac,Wexford,...,...,162,309,466,439
Graiguenamanagh - Tinnahinch,Carlow / Kilkenny,"1,395","1,374","1,435","1,376","1,543","1,475"
Granard,Longford,"1,221","1,173","1,013",933,"1,021",816
Grange,Sligo,...,...,225,383,578,586
Grangemore,Kildare,...,...,171,189,215,217
Greencastle,Donegal,588,547,570,530,817,831
Grenagh,Cork,...,...,...,...,562,579
Greystones - Delgany,Wicklow,"10,778","11,296","11,913","14,569","17,468","18,140"
Gurteen,Sligo,233,257,250,269,349,393
Hacketstown,Carlow,707,628,614,606,600,597
Halfway,Cork,...,...,...,...,201,226
Headford,Galway,600,574,703,760,889,973
Holycross,Tipperary,396,447,610,700,714,715
Hospital,Limerick,723,723,621,628,630,653
Inagh,Clare,...,...,...,170,204,210
Inchigeelagh,Cork,149,156,157,166,160,153
Inistioge,Kilkenny,261,260,266,263,260,285
Inniscrone (Enniscrone),Sligo,610,692,668,829,"1,223","1,156"
Innishannon,Cork,319,498,679,678,767,907
Inniskeen,Monaghan,372,362,310,292,265,273
Irishtown,Mayo,...,...,...,...,...,129
Jenkinstown,Louth,270,233,263,237,323,360
Johnstown,Kildare,...,...,...,899,"1,004","1,005"
Johnstown,Kilkenny,422,460,517,445,472,444
Johnstownbridge,Kildare,...,...,211,535,650,683
Julianstown,Meath,450,424,422,615,616,681
Kanturk,Cork,"1,777","1,666","1,651","1,915","2,263","2,350"
Keadew,Roscommon,...,...,194,219,187,154
Keel - Dooagh,Mayo,557,518,541,561,582,541
Keenagh,Longford,218,223,225,241,498,581
Kells (Ceannanus Mór),Meath,"3,539","3,542","4,421","5,248","5,888","6,135"
Kells,Kilkenny,...,...,176,268,281,274
Kenmare,Kerry,"1,366","1,420","1,844","1,701","2,175","2,376"
Kentstown,Meath,333,324,355,912,"1,099","1,179"
